epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,6008.02,0.76956,1.06968,0.70166,0.00623,0.48632,0.5723,0.80928,0.64673,0.54131,0.59275,0.799,0.65342,0.53257,0.67235,0.95374,0.59666,0.00708,0,0.000190513,0.000190513,0.000190513
51,6128.49,0.76462,1.06712,0.69524,0.00611,0.49364,0.58603,0.79602,0.65543,0.55364,0.59085,0.8013,0.66259,0.53881,0.66141,0.9578,0.58385,0.00692,0,0.00018685,0.00018685,0.00018685
52,6249.42,0.75659,1.07323,0.68515,0.00608,0.48346,0.57512,0.78881,0.64316,0.54326,0.58524,0.79865,0.65494,0.53109,0.67208,0.96595,0.59994,0.00709,0,0.000183187,0.000183187,0.000183187
53,6368.84,0.75655,1.06271,0.68993,0.00602,0.4809,0.5245,0.78447,0.62362,0.52986,0.53894,0.76911,0.63101,0.51418,0.66625,0.97058,0.65515,0.00706,0,0.000179524,0.000179524,0.000179524
54,6486.73,0.76455,1.0764,0.68906,0.00619,0.47114,0.58267,0.78361,0.65769,0.55251,0.58579,0.81792,0.66273,0.53698,0.65928,0.9554,0.6169,0.00696,0,0.000175861,0.000175861,0.000175861
55,6604.65,0.76361,1.07478,0.68528,0.00601,0.47369,0.54589,0.7737,0.63905,0.5435,0.55436,0.78659,0.64431,0.52741,0.65149,0.94664,0.6378,0.00677,0,0.000172198,0.000172198,0.000172198
56,6724,0.7503,1.05074,0.67387,0.00596,0.46393,0.58118,0.79826,0.66633,0.55937,0.59802,0.79994,0.67393,0.54448,0.66067,0.95685,0.59235,0.0069,0,0.000168535,0.000168535,0.000168535
57,6842.78,0.74747,1.04225,0.66724,0.00584,0.46606,0.55525,0.79547,0.62672,0.52582,0.55812,0.79995,0.63018,0.51398,0.66824,0.94316,0.64011,0.007,0,0.000164872,0.000164872,0.000164872
58,6959.26,0.74368,1.03318,0.65698,0.00592,0.4677,0.5628,0.80528,0.6424,0.54255,0.55934,0.80507,0.64622,0.52825,0.66391,0.95673,0.62497,0.00701,0,0.000161209,0.000161209,0.000161209
59,7077.97,0.74684,1.04746,0.66001,0.00586,0.47025,0.56458,0.80265,0.65255,0.55205,0.56845,0.80808,0.65894,0.53628,0.65229,0.9501,0.60497,0.00685,0,0.000157546,0.000157546,0.000157546
60,7196.78,0.74448,1.04135,0.65556,0.0059,0.46357,0.5722,0.8059,0.65468,0.55236,0.57223,0.79715,0.65689,0.5372,0.66055,0.94129,0.62101,0.00698,0,0.000153883,0.000153883,0.000153883
